img_name,target
TrainSet/Animal/Bear/1.jpg,0.0
TrainSet/Animal/Bear/2.jpg,0.0
TrainSet/Animal/Bear/3.jpg,0.0
TrainSet/Animal/Bear/4.jpg,0.0
TrainSet/Animal/Bee/1.jpg,1.0
TrainSet/Animal/Bee/2.jpg,1.0
TrainSet/Animal/Bee/3.jpg,1.0
TrainSet/Animal/Bee/4.jpg,1.0
TrainSet/Animal/Bird/1.jpg,2.0
TrainSet/Animal/Bird/2.jpg,2.0
TrainSet/Animal/Bird/3.jpg,2.0
TrainSet/Animal/Bird/4.jpg,2.0
TrainSet/Animal/Butterfly/1.jpg,3.0
TrainSet/Animal/Butterfly/2.jpg,3.0
TrainSet/Animal/Butterfly/3.jpg,3.0
TrainSet/Animal/Butterfly/4.jpg,3.0
TrainSet/Animal/Camel/1.jpg,4.0
TrainSet/Animal/Camel/2.jpg,4.0
TrainSet/Animal/Camel/3.jpg,4.0
TrainSet/Animal/Camel/4.jpg,4.0
TrainSet/Animal/Caribou/1.jpg,5.0
TrainSet/Animal/Caribou/2.jpg,5.0
TrainSet/Animal/Caribou/3.jpg,5.0
TrainSet/Animal/Caribou/4.jpg,5.0
TrainSet/Animal/Cat/1.jpg,6.0
TrainSet/Animal/Cat/2.jpg,6.0
TrainSet/Animal/Cat/3.jpg,6.0
TrainSet/Animal/Cat/4.jpg,6.0
TrainSet/Animal/Chicken/1.jpg,7.0
TrainSet/Animal/Chicken/2.jpg,7.0
TrainSet/Animal/Chicken/3.jpg,7.0
TrainSet/Animal/Chicken/4.jpg,7.0
TrainSet/Animal/Cow/1.jpg,8.0
TrainSet/Animal/Cow/2.jpg,8.0
TrainSet/Animal/Cow/3.jpg,8.0
TrainSet/Animal/Cow/4.jpg,8.0
TrainSet/Animal/Deer/1.jpg,9.0
TrainSet/Animal/Deer/2.jpg,9.0
TrainSet/Animal/Deer/3.jpg,9.0
TrainSet/Animal/Deer/4.jpg,9.0
TrainSet/Animal/Dolphin/1.jpg,10.0
TrainSet/Animal/Dolphin/2.jpg,10.0
TrainSet/Animal/Dolphin/3.jpg,10.0
TrainSet/Animal/Dolphin/4.jpg,10.0
TrainSet/Animal/Donkey/1.jpg,11.0
TrainSet/Animal/Donkey/2.jpg,11.0
TrainSet/Animal/Donkey/3.jpg,11.0
TrainSet/Animal/Donkey/4.jpg,11.0
TrainSet/Animal/Duck/1.jpg,12.0
TrainSet/Animal/Duck/2.jpg,12.0
TrainSet/Animal/Duck/3.jpg,12.0
TrainSet/Animal/Duck/4.jpg,12.0
TrainSet/Animal/Eagle/1.jpg,13.0
TrainSet/Animal/Eagle/2.jpg,13.0
TrainSet/Animal/Eagle/3.jpg,13.0
TrainSet/Animal/Eagle/4.jpg,13.0
TrainSet/Animal/Elephant/1.jpg,14.0
TrainSet/Animal/Elephant/2.jpg,14.0
TrainSet/Animal/Elephant/3.jpg,14.0
TrainSet/Animal/Elephant/4.jpg,14.0
TrainSet/Animal/Elk/1.jpg,15.0
TrainSet/Animal/Elk/2.jpg,15.0
TrainSet/Animal/Elk/3.jpg,15.0
TrainSet/Animal/Elk/4.jpg,15.0
TrainSet/Animal/Fish/1.jpg,16.0
TrainSet/Animal/Fish/2.jpg,16.0
TrainSet/Animal/Fish/3.jpg,16.0
TrainSet/Animal/Fish/4.jpg,16.0
TrainSet/Animal/Flamingo/1.jpg,17.0
TrainSet/Animal/Flamingo/2.jpg,17.0
TrainSet/Animal/Flamingo/3.jpg,17.0
TrainSet/Animal/Flamingo/4.jpg,17.0
TrainSet/Animal/Fox/1.jpg,18.0
TrainSet/Animal/Fox/2.jpg,18.0
TrainSet/Animal/Fox/3.jpg,18.0
TrainSet/Animal/Fox/4.jpg,18.0
TrainSet/Animal/Giraffe/1.jpg,19.0
TrainSet/Animal/Giraffe/2.jpg,19.0
TrainSet/Animal/Giraffe/3.jpg,19.0
TrainSet/Animal/Giraffe/4.jpg,19.0
